timestamp, name, pci.bus_id, driver_version, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB]
2023/12/12 09:05:18.782, NVIDIA A40, 00000000:23:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:05:18.783, NVIDIA A40, 00000000:41:00.0, 545.23.08, 39, 23 %, 16 %, 46068 MiB, 35101 MiB
2023/12/12 09:05:18.783, NVIDIA A40, 00000000:61:00.0, 545.23.08, 65, 88 %, 59 %, 46068 MiB, 8757 MiB
2023/12/12 09:05:18.784, NVIDIA A40, 00000000:81:00.0, 545.23.08, 35, 0 %, 0 %, 46068 MiB, 35169 MiB
2023/12/12 09:05:18.785, NVIDIA A40, 00000000:A1:00.0, 545.23.08, 26, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:05:18.785, NVIDIA A40, 00000000:C1:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:05:18.787, NVIDIA A40, 00000000:E1:00.0, 545.23.08, 64, 99 %, 49 %, 46068 MiB, 8296 MiB
2023/12/12 09:06:18.788, NVIDIA A40, 00000000:01:00.0, 545.23.08, 28, 0 %, 0 %, 46068 MiB, 45094 MiB
2023/12/12 09:06:18.790, NVIDIA A40, 00000000:23:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:06:18.790, NVIDIA A40, 00000000:41:00.0, 545.23.08, 38, 10 %, 5 %, 46068 MiB, 35101 MiB
2023/12/12 09:06:18.791, NVIDIA A40, 00000000:61:00.0, 545.23.08, 65, 100 %, 74 %, 46068 MiB, 8757 MiB
2023/12/12 09:06:18.791, NVIDIA A40, 00000000:81:00.0, 545.23.08, 34, 0 %, 0 %, 46068 MiB, 35169 MiB
2023/12/12 09:06:18.792, NVIDIA A40, 00000000:A1:00.0, 545.23.08, 26, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:06:18.792, NVIDIA A40, 00000000:C1:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:06:18.793, NVIDIA A40, 00000000:E1:00.0, 545.23.08, 63, 97 %, 35 %, 46068 MiB, 8296 MiB
2023/12/12 09:07:18.794, NVIDIA A40, 00000000:01:00.0, 545.23.08, 30, 9 %, 0 %, 46068 MiB, 45085 MiB
2023/12/12 09:07:18.795, NVIDIA A40, 00000000:23:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:07:18.796, NVIDIA A40, 00000000:41:00.0, 545.23.08, 39, 23 %, 16 %, 46068 MiB, 35101 MiB
2023/12/12 09:07:18.796, NVIDIA A40, 00000000:61:00.0, 545.23.08, 65, 100 %, 90 %, 46068 MiB, 8757 MiB
2023/12/12 09:07:18.797, NVIDIA A40, 00000000:81:00.0, 545.23.08, 37, 32 %, 22 %, 46068 MiB, 35169 MiB
2023/12/12 09:07:18.797, NVIDIA A40, 00000000:A1:00.0, 545.23.08, 26, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:07:18.798, NVIDIA A40, 00000000:C1:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:07:18.798, NVIDIA A40, 00000000:E1:00.0, 545.23.08, 65, 100 %, 49 %, 46068 MiB, 8294 MiB
2023/12/12 09:08:18.799, NVIDIA A40, 00000000:01:00.0, 545.23.08, 30, 11 %, 3 %, 46068 MiB, 45083 MiB
2023/12/12 09:08:18.801, NVIDIA A40, 00000000:23:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
